#all genus associated with D015179: Colorectal Neoplasms; Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.
#in total 1697 valid runs were included in GMrepo.
#please consult our web site for more details.
phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance
D015179	genus	10	Cellvibrio	Bacteria	9	0.0196073017777778	0.00386399	0.0333045415689474	
D015179	genus	13	Dictyoglomus	Bacteria	2	0.0003774925	0.0003774925	0.000314738178053601	
D015179	genus	16	Methylophilus	Bacteria	2	0.003616165	0.003616165	0.00491994291747882	
D015179	genus	18	Pelobacter	Bacteria	58	0.0140942295	0.002836045	0.0780618365790123	
D015179	genus	20	Phenylobacterium	Bacteria	21	0.00979918761904762	0.00464727	0.0123397181124302	
D015179	genus	22	Shewanella	Bacteria	123	0.0646561667886179	0.003184	0.545818127372146	
D015179	genus	32	Myxococcus	Bacteria	1	0.000845923	0.000845923		
D015179	genus	40	Stigmatella	Bacteria	2	0.0012907165	0.0012907165	0.000629033000155397	
D015179	genus	53	Nannocystis	Bacteria	10	0.002889376	0.00285645	0.000371114738298309	
D015179	genus	59	Vitreoscilla	Bacteria	2	0.00125677845	0.00125677845	0.00176242341773162	
D015179	genus	68	Lysobacter	Bacteria	3	0.000909825266666667	0.000924035	0.000871136523772946	
D015179	genus	71	Simonsiella	Bacteria	3	0.0265634666666667	0.00657527	0.0368253484702349	
D015179	genus	75	Caulobacter	Bacteria	35	0.0304107001114286	0.00376102	0.0940591616906809	
D015179	genus	81	Hyphomicrobium	Bacteria	17	0.00341411528235294	0.00296156	0.00358104852064575	
D015179	genus	85	Hyphomonas	Bacteria	28	0.00290828578571429	0.00262996	0.00210269258159321	
D015179	genus	88	Leptothrix	Bacteria	3	0.00204028966666667	0.00237076	0.00174376182841876	
D015179	genus	93	Stella	Bacteria	6	0.00294995666666667	0.003022745	0.000851462234410116	
D015179	genus	96	Gallionella	Bacteria	2	0.0008569565	0.0008569565	0.000283469916189532	
D015179	genus	101	Flectobacillus	Bacteria	28	0.0316991211071429	0.002484555	0.143685140864998	
D015179	genus	105	Runella	Bacteria	4	0.0019726475	0.00156408	0.00111085951330115	
D015179	genus	107	Spirosoma	Bacteria	14	0.00245439842857143	0.001246545	0.00298837360719827	
D015179	genus	113	Gemmata	Bacteria	23	0.0687308312913043	0.00411066	0.208487666955715	
D015179	genus	123	Pirellula	Bacteria	11	0.0980445944545455	0.00533646	0.232555770595212	
D015179	genus	133	Methylocystis	Bacteria	5	0.00051472978	0.000467405	0.000462787256936697	
D015179	genus	138	Borrelia	Bacteria	1	0.000211481	0.000211481		
D015179	genus	146	Spirochaeta	Bacteria	12	0.0196292274916667	0.0008086155	0.0647902946879625	
D015179	genus	157	Treponema	Bacteria	118	0.415828913957627	0.00632936	2.49773657313671	
D015179	genus	171	Leptospira	Bacteria	15	0.14756278298	0.00219722	0.424481756374001	
D015179	genus	179	Leptospirillum	Bacteria	6	0.00203703815	0.001115349	0.00282658218138745	
D015179	genus	187	Aquaspirillum	Bacteria	2	0.00434612	0.00434612	0.00176512237360473	
D015179	genus	191	Azospirillum	Bacteria	27	0.02502091	0.00368311	0.0416785822264212	
D015179	genus	194	Campylobacter	Bacteria	233	0.155933232283262	0.0106082	0.526963817147215	
D015179	genus	209	Helicobacter	Bacteria	31	0.0394735188387097	0.0039218	0.135466580894983	
D015179	genus	222	Achromobacter	Bacteria	49	0.0491694163428571	0.04679	0.0344332588038474	
D015179	genus	226	Alteromonas	Bacteria	56	0.00344141880357143	0.00310604	0.00223061811318176	
D015179	genus	234	Brucella	Bacteria	39	0.0366963140769231	0.00345316	0.0926214480752247	
D015179	genus	237	Flavobacterium	Bacteria	297	0.0905237166835017	0.00975205	0.299331466292074	
D015179	genus	262	Francisella	Bacteria	12	0.0668720293333333	0.004732195	0.115557305697722	
D015179	genus	265	Paracoccus	Bacteria	43	0.0301526501162791	0.00357149	0.0673168438026832	
D015179	genus	270	Thermus	Bacteria	7	0.0542014752857143	0.00172274	0.138973347786937	
D015179	genus	279	Xanthobacter	Bacteria	3	0.000361781	0.000422962	0.000143747617625476	
D015179	genus	283	Comamonas	Bacteria	198	0.129629517606061	0.007797335	0.407906754017851	
D015179	genus	286	Pseudomonas	Bacteria	446	0.481867233011211	0.0250006	2.21374553901787	
D015179	genus	338	Xanthomonas	Bacteria	21	0.368465112071429	0.0117716	0.825229786272649	
D015179	genus	349	Zoogloea	Bacteria	5	0.246919764	0.00313381	0.487092323032007	
D015179	genus	352	Azotobacter	Bacteria	9	0.0499669522222222	0.0071272	0.0882609719207235	
D015179	genus	357	Agrobacterium	Bacteria	36	0.00898285304722222	0.00312032	0.0227359663243947	
D015179	genus	374	Bradyrhizobium	Bacteria	40	0.1585876111	0.004151565	0.679613647279776	
D015179	genus	379	Rhizobium	Bacteria	41	0.115656316580488	0.0058072	0.262588398151968	
D015179	genus	404	Methylobacillus	Bacteria	5	0.00190604338	0.000467405	0.00231626592411542	
D015179	genus	407	Methylobacterium	Bacteria	37	0.0205872366459459	0.00285453	0.0696710324322008	
D015179	genus	413	Methylococcus	Bacteria	11	0.00164789981818182	0.00170433	0.00130467237150511	
D015179	genus	416	Methylomonas	Bacteria	18	0.00351069827777778	0.003053185	0.00197040602896834	
D015179	genus	429	Methylobacter	Bacteria	11	0.00302379426363636	0.00284754	0.00220560364226974	
D015179	genus	434	Acetobacter	Bacteria	13	0.0362525636	0.00193296	0.121548635345744	
D015179	genus	441	Gluconobacter	Bacteria	6	0.00239274531666667	0.000907705	0.0032868697398103	
D015179	genus	445	Legionella	Bacteria	23	0.00475882908695652	0.0023492	0.00698485980673181	
D015179	genus	461	Fluoribacter	Bacteria	4	0.006190095	0.00598323	0.00366734065467517	
