#in total 219 marker taxa were identified between D006262(Health) and D015179(Colorectal Neoplasms)
project id	scientific name	ncbi taxon id	taxonomic rank	LDA	nr. projects in which this taxon is a marker
PRJNA445640	Bacteroides	816	genus	-5.139359951019287	4
PRJNA399638	Faecalibacterium	216851	genus	-5.0772600173950195	5
PRJNA399638	Bacteroides	816	genus	-5.023739814758301	4
PRJNA399638	Blautia	572511	genus	-4.952330112457275	4
PRJEB27928	Eubacterium	1730	genus	-4.825009822845459	4
PRJEB7774	Bifidobacterium	1678	genus	-4.803770065307617	3
PRJEB27928	[Eubacterium] rectale	39491	species	-4.802849769592285	2
PRJEB7774	Ruminococcus	1263	genus	-4.771080017089844	4
PRJEB6070	Ruminococcus	1263	genus	-4.748459815979004	4
PRJEB10878	Eubacterium	1730	genus	-4.695509910583496	4
PRJEB7774	Ruminococcus sp. 5_1_39BFAA	457412	species	-4.689780235290527	2
PRJNA447983	Faecalibacterium prausnitzii	853	species	-4.683060169219971	2
PRJNA399638	Prevotella	838	genus	-4.678760051727295	3
PRJNA445640	Roseburia	841	genus	-4.6785101890563965	4
PRJEB6070	Ruminococcus bromii	40518	species	-4.641280174255371	2
PRJNA445640	Faecalibacterium	216851	genus	-4.6390700340271	5
PRJNA399638	Phascolarctobacterium	33024	genus	-4.615389823913574	1
PRJEB6070	Bifidobacterium	1678	genus	-4.606729984283447	3
PRJEB10878	Faecalibacterium prausnitzii	853	species	-4.598549842834473	2
PRJNA447983	Faecalibacterium	216851	genus	-4.594639778137207	5
PRJNA399638	Megamonas	158846	genus	-4.581369876861572	2
PRJEB6070	Eubacterium	1730	genus	-4.561470031738281	4
PRJNA447983	Bifidobacterium	1678	genus	-4.531189918518066	3
PRJEB10878	[Eubacterium] rectale	39491	species	-4.525279998779297	2
PRJDB4176	Prevotella copri	165179	species	-4.498390197753906	2
PRJNA445640	Dialister	39948	genus	-4.49114990234375	3
PRJNA453829	Faecalibacterium	216851	genus	-4.476779937744141	5
PRJNA453829	Coprococcus	33042	genus	-4.458370208740234	2
PRJEB7774	Eubacterium	1730	genus	-4.443180084228516	4
PRJEB10878	Faecalibacterium	216851	genus	-4.435780048370361	5
PRJNA453829	Roseburia	841	genus	-4.420529842376709	4
PRJEB10878	[Eubacterium] eligens	39485	species	-4.39831018447876	3
PRJEB27928	Roseburia	841	genus	-4.397150039672852	4
PRJEB6070	Streptococcus	1301	genus	-4.351379871368408	3
PRJNA399638	Sutterella	40544	genus	-4.336190223693848	3
PRJEB27928	Roseburia intestinalis	166486	species	-4.270659923553467	3
PRJEB6070	[Eubacterium] eligens	39485	species	-4.267240047454834	3
PRJNA453829	Ruminococcus	1263	genus	-4.237040042877197	4
PRJNA445640	Ruminococcus	1263	genus	-4.233220100402832	4
PRJNA447983	Bifidobacterium adolescentis	1680	species	-4.215169906616211	1
PRJNA445640	Megamonas	158846	genus	-4.207509994506836	2
PRJEB6070	Bifidobacterium longum	216816	species	-4.2025299072265625	2
PRJEB27928	Dialister	39948	genus	-4.187819957733154	3
PRJEB6070	Streptococcus thermophilus	1308	species	-4.150619983673096	2
