Genus,n_strains,n_env,n_host,n_eng,p_env,p_host,p_eng,label
Acidaminobacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Zooshikella,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Abditibacterium,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Acetohalobium,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Abyssibacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Wenxinia,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Acidiferrobacter,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Williamwhitmania,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Vulgatibacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Wenjunlia,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Vulcaniibacterium,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Vicinamibacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Vicingus,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Viridibacillus,3,3,0,0,1.0,0.0,0.0,highly_likely_environmental
Vitiosangium,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Actinocrispum,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Acidimangrovimonas,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Actinobacteria,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Actinocatenispora,3,3,0,0,1.0,0.0,0.0,highly_likely_environmental
Acrocarpospora,3,3,0,0,1.0,0.0,0.0,highly_likely_environmental
Actibacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Actibacterium,4,4,0,0,1.0,0.0,0.0,highly_likely_environmental
Fulvimonas,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Fulvivirga,3,3,0,0,1.0,0.0,0.0,highly_likely_environmental
Frigidibacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Frondibacter,1,1,0,0,1.0,0.0,0.0,highly_likely_environmental
Gottfriedia,2,2,0,0,1.0,0.0,0.0,highly_likely_environmental
Gottschalkia,7,7,0,0,1.0,0.0,0.0,highly_likely_environmental
