ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
159652,"Abditibacterium utsteinense","DSM 105287, LMG 29911","Top surface sample consisting of weathered granite parent material, elevation 1382 m",Antarctica,"Australia and Oceania",#Environmental,#Terrestrial,#Geologic
159652,,,,,,#Climate,#Cold,#Alpine
144952,"Abiotrophia defectiva","CCUG 27280 A","Human pleural fluid",Sweden,Europe,"#Host Body-Site","#Oral cavity and airways",
144952,,,,,,#Infection,#Patient,
144952,,,,,,"#Host Body Product","#Oral cavity and Airways","#Pleural fluid"
144952,,,,,,#Host,#Human,
145171,"Abiotrophia defectiva","CCUG 27805","Human blood,bacteremia",France,Europe,#Infection,#Patient,
145171,,,,,,#Infection,#Disease,
145171,,,,,,#Host,#Microbial,#Bacteria
145171,,,,,,"#Host Body Product",#Fluids,#Blood
145171,,,,,,#Host,#Human,
145172,"Abiotrophia defectiva","CCUG 27806","Human blood,endocarditis",France,Europe,#Infection,#Patient,
145172,,,,,,#Infection,#Inflammation,
145172,,,,,,"#Host Body Product",#Fluids,#Blood
145172,,,,,,#Host,#Human,
145173,"Abiotrophia defectiva","CCUG 27807","Human blood,endocarditis",France,Europe,#Infection,#Patient,
145173,,,,,,#Infection,#Inflammation,
145173,,,,,,"#Host Body Product",#Fluids,#Blood
145173,,,,,,#Host,#Human,
145174,"Abiotrophia defectiva","CCUG 27808","Human blood,endocarditis",France,Europe,#Infection,#Patient,
145174,,,,,,#Infection,#Inflammation,
145174,,,,,,"#Host Body Product",#Fluids,#Blood
145174,,,,,,#Host,#Human,
145313,"Abiotrophia defectiva","CCUG 28152","Human blood,73-yr-old male",Sweden,Europe,#Infection,#Patient,
145313,,,,,,"#Host Body Product",#Fluids,#Blood
145313,,,,,,#Host,#Human,#Male
145981,"Abiotrophia defectiva","CCUG 30076","Human blood,valve operation",Sweden,Europe,#Infection,#Patient,
145981,,,,,,#Infection,"#Medical environment","#Medical practice"
145981,,,,,,"#Host Body Product",#Fluids,#Blood
145981,,,,,,#Host,#Human,
146223,"Abiotrophia defectiva","CCUG 30642","Human eye,66-yr-old man,suspected endophthalmitis",Sweden,Europe,#Infection,#Patient,
146223,,,,,,#Infection,#Disease,
146223,,,,,,"#Host Body-Site",#Organ,#Eye
146223,,,,,,#Host,#Human,#Male
146761,"Abiotrophia defectiva","CCUG 32076",Human,Sweden,Europe,#Host,#Human,
147157,"Abiotrophia defectiva","CCUG 32966 B","Human intrathoraxal infection",Sweden,Europe,#Infection,#Patient,
147157,,,,,,#Infection,#Disease,
147157,,,,,,"#Host Body-Site",#Other,"#Thoracic segment"
147157,,,,,,#Host,#Human,
147409,"Abiotrophia defectiva","CCUG 33542","Human eye (glaskroppsaspirat)",Sweden,Europe,#Infection,#Patient,
147409,,,,,,"#Host Body-Site",#Organ,#Eye
147409,,,,,,#Host,#Human,
148055,"Abiotrophia defectiva","CCUG 34739","Human blood",Sweden,Europe,"#Host Body Product",#Fluids,#Blood
148055,,,,,,#Host,#Human,
148519,"Abiotrophia defectiva","CCUG 35584","Human blood,endocarditis",Sweden,Europe,#Infection,#Patient,
148519,,,,,,#Infection,#Inflammation,
148519,,,,,,"#Host Body Product",#Fluids,#Blood
148519,,,,,,#Host,#Human,
149144,"Abiotrophia defectiva","CCUG 36937","Human blood,endocarditis,70-yr-old man",Sweden,Europe,#Infection,#Patient,
149144,,,,,,#Infection,#Inflammation,
149144,,,,,,"#Host Body Product",#Fluids,#Blood
149144,,,,,,#Host,#Human,#Male
149662,"Abiotrophia defectiva","CCUG 38140",Human,Sweden,Europe,#Host,#Human,
149983,"Abiotrophia defectiva","CCUG 38793","Human blood,suspected endocarditis,found x4",Sweden,Europe,#Infection,#Patient,
149983,,,,,,#Infection,#Inflammation,
149983,,,,,,"#Host Body Product",#Fluids,#Blood
149983,,,,,,#Host,#Human,
150007,"Abiotrophia defectiva","CCUG 38830","Human pericardial fluid",Sweden,Europe,#Infection,#Patient,
150007,,,,,,"#Host Body-Site",#Organ,#Heart
150007,,,,,,"#Host Body Product",#Fluids,
150007,,,,,,#Host,#Human,
150039,"Abiotrophia defectiva","CCUG 38904","Human blood culture,heart valve totally destroyed",Finland,Europe,#Infection,#Patient,"#Blood culture"
150039,,,,,,"#Host Body-Site",#Organ,#Heart
150039,,,,,,#Host,#Human,
150104,"Abiotrophia defectiva","CCUG 38998","Human blood,sepsis,chills,fever 39.5°C",Norway,Europe,#Infection,#Patient,
150104,,,,,,#Infection,#Inflammation,
150104,,,,,,"#Host Body Product",#Fluids,#Blood
150104,,,,,,#Host,#Human,
150280,"Abiotrophia defectiva","CCUG 39479","Human blood and cerebrospinal fluid,endocarditis",Denmark,Europe,#Infection,#Patient,
150280,,,,,,"#Host Body Product",#Fluids,"#Cerebrospinal fluid"
150280,,,,,,"#Host Body Product",#Fluids,#Blood
150280,,,,,,#Host,#Human,
150286,"Abiotrophia defectiva","CCUG 39499","Human tissue,hip",Sweden,Europe,#Infection,#Patient,
150286,,,,,,#Host,#Human,
150539,"Abiotrophia defectiva","CCUG 41537","Human vitreous body,80-yr-old patient",Sweden,Europe,#Infection,#Patient,
150539,,,,,,"#Host Body-Site",#Organ,#Eye
150539,,,,,,#Host,#Human,
152179,"Abiotrophia defectiva","CCUG 45983","Human blood,suspected endocarditis",Sweden,Europe,#Infection,#Patient,
152179,,,,,,#Infection,#Inflammation,
152179,,,,,,"#Host Body Product",#Fluids,#Blood
152179,,,,,,#Host,#Human,
152186,"Abiotrophia defectiva","CCUG 46001","Human blood",Sweden,Europe,"#Host Body Product",#Fluids,#Blood
152186,,,,,,#Host,#Human,
152516,"Abiotrophia defectiva","CCUG 46990 B","Human blood,68-yr-old woman",Sweden,Europe,#Infection,#Patient,
152516,,,,,,"#Host Body Product",#Fluids,#Blood
152516,,,,,,#Host,#Human,#Female
152552,"Abiotrophia defectiva","CCUG 47045","Human vitreous body,77-yr-old female,keratitis",Sweden,Europe,#Infection,#Patient,
152552,,,,,,#Infection,#Disease,
152552,,,,,,"#Host Body-Site",#Organ,#Eye
152552,,,,,,#Host,#Human,#Female
152579,"Abiotrophia defectiva","CCUG 47112","Human wound",Sweden,Europe,"#Host Body-Site",#Other,#Wound
152579,,,,,,#Host,#Human,
153374,"Abiotrophia defectiva","CCUG 49368","Human blood,66-yr-old man,endocarditis",Sweden,Europe,#Infection,#Patient,
153374,,,,,,#Infection,#Inflammation,
153374,,,,,,"#Host Body Product",#Fluids,#Blood
153374,,,,,,#Host,#Human,#Male
154020,"Abiotrophia defectiva","CCUG 52016","Human blood",Norway,Europe,"#Host Body Product",#Fluids,#Blood
154020,,,,,,#Host,#Human,
154929,"Abiotrophia defectiva","CCUG 55745","Human blood,67-yr-old woman",Sweden,Europe,#Infection,#Patient,
154929,,,,,,"#Host Body Product",#Fluids,#Blood
154929,,,,,,#Host,#Human,#Female
155280,"Abiotrophia defectiva","CCUG 57181","Human blood,3-yr-old male",Sweden,Europe,#Host,#Human,#Child
155280,,,,,,#Infection,#Patient,
155280,,,,,,"#Host Body Product",#Fluids,#Blood
155280,,,,,,#Host,#Human,#Male
155432,"Abiotrophia defectiva","CCUG 57749","Human hip prosthesis,70-yr-old woman",Sweden,Europe,#Infection,#Patient,
155432,,,,,,#Infection,"#Medical environment","#Medical practice"
155432,,,,,,#Host,#Human,#Female
155940,"Abiotrophia defectiva","CCUG 59700","Human blood,88-yr-old man",Sweden,Europe,#Infection,#Patient,
155940,,,,,,"#Host Body Product",#Fluids,#Blood
155940,,,,,,#Host,#Human,#Male
156779,"Abiotrophia defectiva","CCUG 65103","Human blood,1-yr-old boy",Sweden,Europe,#Host,#Human,#Child
156779,,,,,,#Infection,#Patient,
156779,,,,,,"#Host Body Product",#Fluids,#Blood
156779,,,,,,#Host,#Human,#Male
219,"Abiotrophia defectiva","DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639","Human, Blood###blood of bacterial endocarditis patient",France,Europe,"#Host Body Product",#Fluids,#Blood
219,,,,,,#Infection,#Patient,
219,,,,,,#Infection,#Inflammation,
219,,,,,,#Infection,#Disease,
219,,,,,,"#Host Body Product",#Fluids,#Blood
219,,,,,,#Infection,#Patient,
219,,,,,,#Infection,#Inflammation,
219,,,,,,#Infection,#Disease,
175515,"Absicoccus intestinalis","DSM 114836, JCM 37183","Colon of a female Aachener minipig",Germany,Europe,,,
164352,"Absicoccus porci","JCM 32769, KCTC 15747, KCTC 1574","pig faeces###Pig feces","Republic of Korea",Asia,,,
164352,,,,,,,,
