file_uuid,submitter_id,sample_id,sample_type,experimental_strategy
a31db5eb-485b-4f9e-af34-d3b0ca729309,TCGA-43-7657-11A,92c7c076-1ae8-4672-a58f-7a4e6cc10e47,Solid Tissue Normal,RNA-Seq
cc9c4573-ae32-4fcb-9ef6-6fbc7d9e4220,TCGA-21-1070-01A,6ec09b78-7ff6-491d-adef-29535869d33a,Primary Tumor,RNA-Seq
212bdde0-07d6-47d0-816b-39d48382abf3,TCGA-33-4589-01A,39862630-4b34-4756-9147-c3deb3b78cb3,Primary Tumor,RNA-Seq
d71c5711-92e5-40b3-bdca-6a5f4732ea3d,TCGA-60-2715-01A,5848ee1c-191f-4434-b7c6-598058aa0dd8,Primary Tumor,RNA-Seq
9863840b-b171-48b1-b4d6-a135dcc77ecd,TCGA-18-3406-01A,7a55a700-a706-443d-8bad-e70483c464f2,Primary Tumor,RNA-Seq
ed716cb8-1ccc-479e-b0eb-06be442ae41e,TCGA-18-3407-01A,49963d3b-a50e-4086-bc94-fe2042f9fcae,Primary Tumor,RNA-Seq
49a02f95-8e54-4e17-a1b2-4c220bf400d9,TCGA-94-7557-01A,b70aba76-cc36-48b0-bf1a-d83e5cf1cd54,Primary Tumor,RNA-Seq
c9297cf2-042d-4038-9ee8-f67d7cf8256c,TCGA-18-4083-01A,2be9b353-e4bb-4356-b9a1-080be2ebc80d,Primary Tumor,RNA-Seq
68dd08d6-b418-4286-a3b1-8cf751d01f80,TCGA-90-6837-01A,0120344d-7346-409f-8518-ef7b13f867ff,Primary Tumor,RNA-Seq
71a56f25-c07b-4b5a-bc26-067fb5e288f9,TCGA-18-5595-01A,86d94dd2-72f8-4969-9989-67dd684fa6a4,Primary Tumor,RNA-Seq
0133cbcc-80af-4237-a66c-3703ad488217,TCGA-60-2711-01A,8a3a376a-a4db-4d4f-85ce-a894a2aa60bb,Primary Tumor,RNA-Seq
0d554ddf-5e1e-46e2-a9ce-203718b3dd22,TCGA-67-6217-01A,bc0fe45c-3249-46d7-8991-c6888f0b9579,Primary Tumor,RNA-Seq
ab33280d-e6b9-4f39-830d-6b1a2848c624,TCGA-55-7726-01A,32342d96-3b04-4881-9e98-9cb63918fe48,Primary Tumor,RNA-Seq
9742f400-4054-4264-9947-e95aaeb1049e,TCGA-44-2661-01A,48dd9724-8848-48c3-8628-7e78a24e3f2c,Primary Tumor,RNA-Seq
6d0468b0-986e-45ee-a5ee-b26d1aea9461,TCGA-50-5932-01A,7ecb9621-7a1f-4876-9dfb-9b77cc4cb7b4,Primary Tumor,RNA-Seq
255c0770-2275-4d2a-81f9-72531bd05e16,TCGA-55-8619-01A,0deed408-8acb-43ce-84a3-143aabd23312,Primary Tumor,RNA-Seq
3df28cce-7aa8-43c8-8886-080676906139,TCGA-55-1594-01A,2885d4b3-34a6-421d-b20c-eedad721d10a,Primary Tumor,RNA-Seq
9fc8a258-33af-40c7-a716-9244b76f39f9,TCGA-91-6848-01A,93b55ce3-3ab0-4bc1-b1a2-3f02b13dc7b0,Primary Tumor,RNA-Seq
