Abbreviations,Full names
Acin.,Acinetobacter
Aero.,Aeromonas
Baci.,Bacillus
Bact.,Bacteroides
Brad.,Bradyrhizobium
Burk.,Burkholderia
Camp.,Campylobacter
Cand.p.,Candidatus Pelagisphaera
Cand.s.,Candidatus Symbiobacter
Cohn.,Cohnella
Coma.,Comamonas
Cuti.,Cutibacterium
Ente.b.,Enterobacter
Ente.c.,Enterococcus
Esch.,Escherichia
Geob.,Geobacillus
Kleb.,Klebsiella
Leis.,Leisingera
List.,Listeria
Meth.,Methylobacterium
Myco.,Mycobacterium
Neis.,Neisseria
Plan.,Plantactinospora
Pseu.l.,Pseudolysobacter
Pseu.m.,Pseudomonas
Rals.,Ralstonia
Rhiz.,Rhizobium
Salm.,Salmonella
Shew.,Shewanella
Shig.,Shigella
Sphi.,Sphingomonas
Stap.,Staphylococcus
Sten.,Stenotrophomonas
Stre.c.,Streptococcus
Stre.m.,Streptomyces
Vibr.,Vibrio
Xant.,Xanthomonas
